SZ002193,0.74亿
SZ002194,1.65亿
SZ002197,0.56亿
SZ002199,-0.39亿
SZ002200,0.47亿
SZ002201,-0.38亿
SZ002202,-65.89亿
SZ002203,-44.76亿
SZ002204,11.6亿
SZ002205,0.49亿
SZ002206,-3.16亿
SZ002207,-0.6亿
SZ002208,-45.43亿
SZ002210,-1.1亿
SZ002211,1.02亿
SZ002212,-4.31亿
SZ002214,-2.09亿
SZ002215,-5.76亿
SZ002216,9.07亿
SZ002217,0.87亿
SZ002218,1.36亿
SZ002219,0.64亿
SZ002222,0.94亿
SZ002223,12.97亿
SZ002224,0.39亿
SZ002225,-5.72亿
SZ002226,3.12亿
SZ002227,-0.85亿
SZ002229,0.29亿
SZ002230,-13.88亿
SZ002232,-0.92亿
SZ002234,-4.65亿
SZ002235,-0.61亿
SZ002236,-6.68亿
SZ002238,1.68亿
SZ002239,0.84亿
SZ002240,-0.67亿
SZ002241,20.95亿
SZ002242,5.43亿
SZ002243,-10.96亿
SZ002244,-1.01百亿
SZ002245,-4.55亿
SZ002246,0.79亿
SZ002248,1.74百万
SZ002249,4.53亿
SZ002250,-6.08亿
SZ002251,-0.26亿
SZ002252,11.72亿
SZ002253,-0.52亿
SZ002254,-3.49亿
SZ002256,-1.25亿
SZ002258,5.38亿
SZ002259,1.01亿
SZ002260,-1.34亿
SZ002261,1.93百万
SZ002262,5.05亿
SZ002263,1.93亿
SZ002265,0.4亿
SZ002266,-17.86亿
SZ002267,1.04亿
SZ002268,7.99亿
SZ002269,0.32亿
SZ002270,2.61亿
SZ002271,-37.39亿
SZ002272,-1.02亿
SZ002273,-4.19亿
SZ002274,15.11亿
SZ002276,-3.67亿
SZ002277,7.18亿
SZ002278,-3.99百万
SZ002279,1.82亿
SZ002280,-5.62亿
SZ002281,1.17亿
SZ002282,0.4亿
SZ002283,2.94亿
SZ002284,3.01亿
SZ002285,10.72亿
SZ002286,-1.49亿
SZ002287,7.33亿
SZ002288,0.26亿
SZ002289,-0.28亿
SZ002290,2.14亿
SZ002291,-4.03亿
SZ002292,-2.4亿
SZ002293,6.12亿
SZ002294,7.26亿
SZ002295,1.74亿
SZ002297,-1.43亿
SZ002299,-1.13亿
SZ002301,0.82亿
SZ002302,-3.94亿
SZ002303,1.73亿
SZ002304,88.55亿
SZ002305,12.85亿
SZ002306,-0.22亿
SZ002307,-43.69亿
SZ002308,0.92亿
SZ002309,5.05百万
SZ002310,-0.34亿
SZ002312,0.49亿
SZ002313,1.3亿
SZ002314,-14.88亿
SZ002315,4.59亿
SZ002316,9.27百万
SZ002317,4.0亿
SZ002318,-3.06亿
SZ002319,0.16亿
SZ002320,-8.72亿
SZ002322,2.48亿
SZ002323,-2.72亿
SZ002325,0.98亿
SZ002326,0.42亿
SZ002327,7.31亿
SZ002328,0.43亿
SZ002329,-4.07亿
SZ002330,-1.63亿
SZ002333,-4.74亿
SZ002335,3.32亿
SZ002336,-1.41亿
SZ002337,0.75亿
SZ002338,5.65百万
SZ002340,-47.62亿
SZ002341,0.25亿
SZ002345,2.79亿
SZ002346,-8.31亿
SZ002347,0.26亿
SZ002348,6.21百万
SZ002349,2.15亿
SZ002350,1.19亿
SZ002351,3.38亿
SZ002352,26.56亿
SZ002353,1.76亿
SZ002354,-0.72亿
SZ002356,-0.58亿
SZ002357,-0.82亿
SZ002358,7.01亿
SZ002359,8.95百万
SZ002360,-5.22亿
SZ002361,-2.19亿
SZ002362,-1.6亿
SZ002363,2.43亿
SZ002364,-0.17亿
SZ002365,1.05亿
SZ002366,-0.1亿
SZ002367,1.21亿
SZ002368,8.88亿
SZ002369,1.5亿
SZ002370,-0.24亿
SZ002371,-33.69亿
SZ002372,11.37亿
SZ002373,1.46亿
SZ002374,0.45亿
SZ002376,-3.76亿
SZ002377,-0.22亿
SZ002378,-0.91亿
SZ002381,-1.04亿
SZ002382,-6.39亿
SZ002383,-0.35亿
SZ002384,5.9亿
SZ002385,-14.95亿
SZ002386,10.25亿
SZ002387,-7.59亿
SZ002389,-3.25亿
SZ002390,2.65亿
SZ002391,-5.42亿
SZ002392,-0.83亿
SZ002394,-3.51亿
SZ002395,-1.16亿
SZ002396,-0.17亿
SZ002397,-1.3亿
SZ002398,2.04亿
SZ002400,0.79亿
SZ002401,1.65亿
SZ002402,-1.0亿
SZ002403,-0.63亿
SZ002404,-3.72亿
SZ002405,-2.9亿
SZ002406,1.67亿
SZ002407,5.85亿
SZ002408,-39.03亿
SZ002409,-3.23亿
SZ002410,5.63亿
SZ002411,4.07亿
SZ002412,-0.42亿
SZ002413,-2.59亿
SZ002414,2.91亿
SZ002415,74.13亿
SZ002416,-24.39亿
SZ002417,-0.11亿
SZ002418,-1.22亿
SZ002419,13.5亿
SZ002420,0.46亿
SZ002423,90.82亿
SZ002424,-1.11亿
SZ002425,-0.46亿
SZ002426,-3.72亿
SZ002427,-6.26百万
SZ002428,-0.81亿
SZ002429,9.69亿
SZ002430,-1.88亿
SZ002431,-2.31亿
SZ002432,1.29百亿
SZ002433,6.18亿
SZ002434,0.37亿
SZ002435,6.46亿
SZ002436,-6.52亿
SZ002438,-4.8亿
SZ002439,-0.17亿
SZ002440,8.75亿
SZ002441,-2.85亿
SZ002442,2.14亿
SZ002443,0.36亿
SZ002444,-3.46亿
SZ002445,-0.59亿
SZ002446,-0.73亿
SZ002448,0.35亿
SZ002449,1.87亿
SZ002451,-3.81亿
SZ002453,1.59亿
SZ002454,1.94亿
SZ002455,-16.76亿
SZ002457,-1.2亿
SZ002458,-7.5亿
SZ002459,-32.05亿
SZ002460,5.24亿
SZ002461,3.64亿
SZ002463,7.79亿
SZ002464,1.09亿
SZ002465,1.45亿
SZ002466,44.73亿
SZ002467,0.4亿
SZ002468,1.85亿
SZ002470,4.07亿
SZ002472,-5.29亿
SZ002473,-1.05亿
SZ002474,-0.97亿
SZ002475,-53.0亿
SZ002476,-1.92亿
SZ002477,-0.12亿
SZ002478,-5.23亿
SZ002480,-0.23亿
SZ002482,-18.06亿
SZ002484,-1.67亿
SZ002485,1.25亿
SZ002486,-0.92亿
SZ002487,-9.5亿
SZ002488,-4.75亿
SZ002489,0.36亿
SZ002490,1.07亿
SZ002491,2.65亿
SZ002493,-8.78亿
SZ002494,-0.88亿
SZ002495,0.58亿
SZ002496,-0.56亿
SZ002497,7.54亿
SZ002498,-4.04亿
SZ002499,--
SZ002500,21.94亿
SZ002501,-6.06亿
SZ002502,-3.13亿
SZ002503,-5.41亿
SZ002504,--
SZ002506,-4.44亿
SZ002507,7.65亿
SZ002508,8.74亿
SZ002511,6.95亿
SZ002512,-2.18亿
SZ002513,-0.63亿
SZ002515,2.41亿
SZ002516,1.43亿
SZ002517,6.26亿
SZ002519,-1.85亿
SZ002521,0.17亿
SZ002522,-0.8亿
SZ002523,1.01亿
SZ002526,-1.69亿
SZ002527,-2.71亿
SZ002528,-8.31百万
SZ002529,-0.55亿
SZ002530,-1.61亿
SZ002531,-3.96亿
SZ002532,25.02亿
SZ002533,3.48亿
SZ002534,-3.54亿
SZ002535,4.33亿
SZ002536,1.23亿
SZ002537,0.7亿
SZ002538,2.63亿
SZ002539,12.31亿
SZ002541,-19.65亿
SZ002542,1.18亿
SZ002543,1.16亿
SZ002544,-0.49亿
SZ002545,5.38亿
SZ002546,0.27亿
SZ002547,-0.8亿
SZ002548,-0.94亿
SZ002550,2.08亿
SZ002552,0.12亿
SZ002553,0.38亿
SZ002555,32.72亿
SZ002556,9.89亿
SZ002557,8.18亿
SZ002558,3.85亿
SZ002559,0.67亿
SZ002560,-2.51亿
SZ002561,0.74亿
SZ002562,-1.48亿
SZ002563,11.4亿
SZ002566,1.05亿
SZ002567,-44.6亿
SZ002568,1.63亿
SZ002569,--
SZ002570,1.13亿
SZ002571,-5.91亿
SZ002572,-2.03亿
SZ002574,4.07亿
SZ002576,-0.59亿
SZ002578,-1.41亿
SZ002579,-10.14亿
SZ002580,-1.94亿
SZ002581,-1.11亿
SZ002582,-2.0亿
SZ002583,1.28亿
SZ002585,2.14亿
SZ002588,11.01亿
SZ002589,0.81亿
SZ002591,-1.38亿
SZ002592,0.34亿
SZ002593,-1.11亿
SZ002594,3.07百亿
SZ002595,0.33亿
SZ002596,0.62亿
SZ002597,5.37亿
SZ002598,9.75百万
SZ002599,-0.22亿
SZ002600,-36.21亿
SZ002601,2.77亿
SZ002602,-1.2亿
SZ002603,5.75亿
SZ002604,0.73亿
SZ002605,3.78亿
SZ002606,-0.88亿
SZ002607,-18.54亿
SZ002608,-12.83亿
SZ002609,-3.25亿
SZ002610,-1.1亿
SZ002611,2.5亿
SZ002612,1.9亿
SZ002613,-1.2亿
SZ002614,-3.79亿
SZ002615,2.14亿
SZ002616,-3.29亿
SZ002618,-3.25百万
SZ002619,6.02亿
SZ002621,0.33亿
SZ002622,-0.18亿
SZ002623,-4.69亿
SZ002625,-5.35亿
SZ002626,4.78亿
SZ002627,2.12亿
SZ002628,-5.84百万
SZ002629,-0.3亿
SZ002633,-0.48亿
SZ002634,-0.24亿
SZ002635,-4.64亿
SZ002636,1.66亿
SZ002637,-0.91亿
SZ002638,-1.52亿
SZ002639,-2.2亿
SZ002640,-6.0亿
SZ002641,-4.41亿
SZ002642,6.29百万
SZ002643,0.61亿
SZ002645,-0.42亿
SZ002646,-0.44亿
SZ002647,0.53亿
SZ002648,23.05亿
SZ002649,2.83亿
SZ002650,-0.48亿
SZ002651,0.17亿
SZ002652,-2.54亿
SZ002653,-7.15亿
SZ002654,-0.42亿
SZ002655,0.45亿
SZ002657,-0.78亿
SZ002658,1.69亿
SZ002659,1.31亿
SZ002660,-0.41亿
SZ002661,-1.4亿
SZ002663,3.91亿
SZ002664,-6.12亿
SZ002665,-4.41亿
SZ002666,-3.62百万
SZ002667,-2.59亿
SZ002668,6.93亿
SZ002669,-0.1亿
SZ002670,-7.48亿
SZ002671,-1.29亿
SZ002672,-4.69亿
SZ002673,-1.18百亿
SZ002675,2.95亿
SZ002677,6.31亿
SZ002679,0.35亿
SZ002682,8.36亿
SZ002684,0.59亿
SZ002685,-2.06亿
SZ002686,-1.06亿
SZ002687,2.26亿
SZ002688,-1.61亿
SZ002689,-0.99亿
SZ002690,3.88亿
SZ002691,-6.85百万
SZ002692,1.69亿
SZ002693,-0.23亿
SZ002694,-0.16亿
SZ002695,1.73亿
SZ002696,-0.58亿
SZ002697,10.74亿
SZ002698,3.25亿
SZ002699,0.9亿
SZ002700,0.35亿
SZ002701,0.15亿
SZ002702,-2.42亿
SZ002705,-3.85亿
SZ002706,-1.15亿
SZ002707,--
SZ002708,-2.48亿
SZ002709,4.52亿
SZ002711,--
SZ002712,0.51亿
SZ002713,-1.01亿
SZ002714,-1.58百亿
SZ002715,-0.43亿
SZ002716,-3.99亿
SZ002717,4.73亿
SZ002718,-0.18亿
SZ002719,-0.79亿
SZ002721,2.06亿
SZ002722,0.74亿
SZ002723,-2.26亿
SZ002724,1.2亿
SZ002725,-0.18亿
SZ002726,-11.71亿
SZ002727,12.95亿
SZ002728,0.98亿
SZ002729,7.19百万
SZ002730,-0.53亿
SZ002731,-0.43亿
SZ002732,0.74亿
SZ002733,-2.96亿
SZ002734,-7.16亿
SZ002735,0.45亿
SZ002737,9.25亿
SZ002738,4.99亿
SZ002740,-0.18亿
SZ002741,-0.26亿
SZ002742,-4.42百万
SZ002743,-3.75亿
SZ002745,19.15亿
SZ002746,-6.91亿
SZ002747,1.31亿
SZ002748,2.89亿
